   96   334   429	RPs/Img: 88.86	IOU: 60.94%	Recall:77.86%
   97   335   430	RPs/Img: 88.07	IOU: 60.98%	Recall:77.91%
   98   347   448	RPs/Img: 90.77	IOU: 61.05%	Recall:77.46%
   99   353   455	RPs/Img: 90.73	IOU: 60.95%	Recall:77.58%
  100   354   456	RPs/Img: 90.12	IOU: 60.95%	Recall:77.63%
  101   357   459	RPs/Img: 89.73	IOU: 60.98%	Recall:77.78%
  102   359   461	RPs/Img: 89.01	IOU: 61.00%	Recall:77.87%
  103   372   485	RPs/Img: 91.46	IOU: 60.62%	Recall:76.70%
  104   373   486	RPs/Img: 90.73	IOU: 60.67%	Recall:76.75%
  105   380   494	RPs/Img: 91.23	IOU: 60.76%	Recall:76.92%
  106   383   498	RPs/Img: 91.53	IOU: 60.81%	Recall:76.91%
  107   385   500	RPs/Img: 91.43	IOU: 60.81%	Recall:77.00%
  108   386   501	RPs/Img: 91.05	IOU: 60.84%	Recall:77.05%
  109   395   510	RPs/Img: 91.49	IOU: 60.97%	Recall:77.45%
  110   396   511	RPs/Img: 90.95	IOU: 60.99%	Recall:77.50%
  111   398   513	RPs/Img: 91.63	IOU: 61.06%	Recall:77.58%
  112   403   518	RPs/Img: 91.44	IOU: 61.14%	Recall:77.80%
  113   404   519	RPs/Img: 91.23	IOU: 61.16%	Recall:77.84%
  114   405   520	RPs/Img: 91.34	IOU: 61.17%	Recall:77.88%
  115   407   522	RPs/Img: 91.10	IOU: 61.16%	Recall:77.97%
  116   409   524	RPs/Img: 90.59	IOU: 61.16%	Recall:78.05%
  117   410   525	RPs/Img: 90.43	IOU: 61.21%	Recall:78.10%
  118   411   526	RPs/Img: 89.71	IOU: 61.20%	Recall:78.14%
  119   412   527	RPs/Img: 89.19	IOU: 61.21%	Recall:78.18%
  120   414   530	RPs/Img: 88.87	IOU: 61.20%	Recall:78.11%
  121   415   533	RPs/Img: 88.32	IOU: 61.08%	Recall:77.86%
  122   416   534	RPs/Img: 87.74	IOU: 61.09%	Recall:77.90%
  123   417   535	RPs/Img: 87.23	IOU: 61.11%	Recall:77.94%
  124   418   536	RPs/Img: 86.58	IOU: 61.13%	Recall:77.99%
  125   424   543	RPs/Img: 87.37	IOU: 61.18%	Recall:78.08%
  126   428   549	RPs/Img: 87.46	IOU: 61.27%	Recall:77.96%
  127   435   560	RPs/Img: 87.66	IOU: 61.21%	Recall:77.68%
  128   441   567	RPs/Img: 87.85	IOU: 61.23%	Recall:77.78%
  129   442   568	RPs/Img: 87.45	IOU: 61.25%	Recall:77.82%
  130   444   571	RPs/Img: 87.24	IOU: 61.21%	Recall:77.76%
  131   448   577	RPs/Img: 87.80	IOU: 61.15%	Recall:77.64%
  132   454   583	RPs/Img: 87.54	IOU: 61.21%	Recall:77.87%
  133   464   594	RPs/Img: 87.83	IOU: 61.29%	Recall:78.11%
  134   470   602	RPs/Img: 87.45	IOU: 61.21%	Recall:78.07%
  135   472   604	RPs/Img: 87.21	IOU: 61.29%	Recall:78.15%
  136   473   606	RPs/Img: 87.06	IOU: 61.26%	Recall:78.05%
  137   475   608	RPs/Img: 87.25	IOU: 61.32%	Recall:78.12%
  138   482   616	RPs/Img: 87.44	IOU: 61.37%	Recall:78.25%
  139   485   620	RPs/Img: 88.02	IOU: 61.44%	Recall:78.23%
  140   491   628	RPs/Img: 88.48	IOU: 61.40%	Recall:78.18%
  141   502   641	RPs/Img: 89.01	IOU: 61.41%	Recall:78.32%
  142   512   651	RPs/Img: 89.51	IOU: 61.55%	Recall:78.65%
  143   515   654	RPs/Img: 89.53	IOU: 61.54%	Recall:78.75%
  144   518   657	RPs/Img: 89.22	IOU: 61.59%	Recall:78.84%
  145   520   659	RPs/Img: 88.83	IOU: 61.61%	Recall:78.91%
  146   522   665	RPs/Img: 88.59	IOU: 61.47%	Recall:78.50%
  147   523   666	RPs/Img: 88.63	IOU: 61.49%	Recall:78.53%
  148   524   667	RPs/Img: 88.07	IOU: 61.51%	Recall:78.56%
  149   525   668	RPs/Img: 87.55	IOU: 61.51%	Recall:78.59%
  150   526   669	RPs/Img: 87.29	IOU: 61.51%	Recall:78.62%
  151   527   670	RPs/Img: 86.97	IOU: 61.50%	Recall:78.66%
  152   530   673	RPs/Img: 86.81	IOU: 61.54%	Recall:78.75%
  153   531   674	RPs/Img: 86.51	IOU: 61.53%	Recall:78.78%
  154   535   678	RPs/Img: 86.33	IOU: 61.60%	Recall:78.91%
  155   544   689	RPs/Img: 86.58	IOU: 61.61%	Recall:78.96%
  156   550   695	RPs/Img: 87.56	IOU: 61.66%	Recall:79.14%
  157   551   696	RPs/Img: 87.07	IOU: 61.69%	Recall:79.17%
  158   552   698	RPs/Img: 86.67	IOU: 61.62%	Recall:79.08%
  159   557   704	RPs/Img: 87.38	IOU: 61.65%	Recall:79.12%
  160   561   708	RPs/Img: 87.88	IOU: 61.63%	Recall:79.24%
  161   564   711	RPs/Img: 87.81	IOU: 61.68%	Recall:79.32%
  162   565   712	RPs/Img: 87.51	IOU: 61.68%	Recall:79.35%
  163   566   713	RPs/Img: 87.19	IOU: 61.70%	Recall:79.38%
  164   573   720	RPs/Img: 87.75	IOU: 61.77%	Recall:79.58%
  165   580   729	RPs/Img: 88.07	IOU: 61.75%	Recall:79.56%
  166   583   732	RPs/Img: 88.59	IOU: 61.79%	Recall:79.64%
  167   586   735	RPs/Img: 88.52	IOU: 61.81%	Recall:79.73%
  168   600   752	RPs/Img: 89.47	IOU: 61.82%	Recall:79.79%
  169   603   756	RPs/Img: 89.72	IOU: 61.84%	Recall:79.76%
  170   604   757	RPs/Img: 89.30	IOU: 61.87%	Recall:79.79%
  171   605   758	RPs/Img: 88.99	IOU: 61.85%	Recall:79.82%
  172   607   760	RPs/Img: 88.94	IOU: 61.90%	Recall:79.87%
  173   608   761	RPs/Img: 88.71	IOU: 61.94%	Recall:79.89%
  174   611   764	RPs/Img: 88.34	IOU: 61.91%	Recall:79.97%
